title,title2,title3,导演和主演,评分,protagonist,链接
致命ID,/Identity,/杀人游戏  /  致命身份,导演: 詹姆斯·曼高德 James Mangold主演: 约翰·库萨克 John Cusack / 雷...,8.9,,https://movie.douban.com/subject/1297192/
杀人回忆,/살인의 추억,/谋杀回忆  /  杀手回忆录,导演: 奉俊昊 Joon-ho Bong主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,8.9,,https://movie.douban.com/subject/1300299/
春光乍泄,/春光乍洩,/一起快乐  /  Happy Together,导演: 王家卫 Kar Wai Wong主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,9.0,,https://movie.douban.com/subject/1292679/
海豚湾,/The Cove,/血色海湾(台)  /  海湾,导演: 路易·西霍尤斯 Louie Psihoyos主演: 路易·西霍尤斯 Louie Psihoyo...,9.3,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
一一,/Yi yi  /  Yi yi: A One and a Two,,导演: 杨德昌 Edward Yang主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,9.1,,https://movie.douban.com/subject/1292434/
美国往事,/Once Upon a Time in America,/四海兄弟(台)  /  义薄云天(港),导演: 赛尔乔·莱翁内 Sergio Leone主演: 罗伯特·德尼罗 Robert De Niro ...,9.1,,https://movie.douban.com/subject/1292262/
加勒比海盗,/Pirates of the Caribbean: The Curse of the Black Pearl,/加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),导演: 戈尔·维宾斯基 Gore Verbinski主演: 约翰尼·德普 Johnny Depp / ...,8.8,,https://movie.douban.com/subject/1298070/
红辣椒,/パプリカ,/盗梦侦探(港 / 台) ,导演: 今敏 Satoshi Kon主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,9.0,梦的勾结。,https://movie.douban.com/subject/1865703/
七宗罪,/Se7en,/火线追缉令(台)  /  7宗罪,导演: 大卫·芬奇 David Fincher主演: 摩根·弗里曼 Morgan Freeman / 布...,8.8,,https://movie.douban.com/subject/1292223/
唐伯虎点秋香,/唐伯虎點秋香,/Flirting Scholar,导演: 李力持 Lik-Chi Lee主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,8.7,,https://movie.douban.com/subject/1306249/
狩猎,/Jagten,/诬网(港)  /  谎言的烙印(台),导演: 托马斯·温特伯格 Thomas Vinterberg主演: 麦斯·米科尔森 Mads Mik...,9.1,人言可畏。,https://movie.douban.com/subject/6985810/
还有明天,/C'è ancora domani,/明天还有梦(港)  /  我们还有明天(台),导演: 宝拉·柯特莱西 Paola Cortellesi主演: 宝拉·柯特莱西 Paola Corte...,9.4,,https://movie.douban.com/subject/36445098/
甜蜜蜜,/Comrades: Almost a Love Story,,导演: 陈可辛 Peter Chan主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,8.9,,https://movie.douban.com/subject/1305164/
7号房的礼物,/7번방의 선물,/戆爸的礼物(港)  /  7号囚房的礼物,导演: 李焕庆 Hwan-kyeong Lee主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,8.9,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
蝙蝠侠：黑暗骑士崛起,/The Dark Knight Rises,/蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),导演: 克里斯托弗·诺兰 Christopher Nolan主演: 克里斯蒂安·贝尔 Christ...,8.9,诺兰就是保证。,https://movie.douban.com/subject/3395373/
寄生虫,/기생충,/寄生上流(台)  /  上流寄生族(港),导演: 奉俊昊 Joon-ho Bong主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,8.8,,https://movie.douban.com/subject/27010768/
天书奇谭,/天书奇谭4K纪念版  /  The Legend of Sealed Book,,导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian主演: 丁建华 Jianhua Din...,9.2,,https://movie.douban.com/subject/1428581/
超能陆战队,/Big Hero 6,/大英雄联盟(港)  /  大英雄天团(台),导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams主演: 斯科特...,8.8,Balalala~~~,https://movie.douban.com/subject/11026735/
被嫌弃的松子的一生,/嫌われ松子の一生,/花样奇缘(港)  /  令人讨厌的松子的一生(台),导演: 中岛哲也 Tetsuya Nakashima主演: 中谷美纪 Miki Nakatani / 瑛太 E...,8.8,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
